日期,多空仓位,多头仓位,打分,隔日涨跌
11-2-2016,1,1,8,0.0117
11-3-2016,0,1,5,-0.0013
11-4-2016,0,0,5,0.0026
11-7-2016,-1,0,3,0.0034
11-8-2016,0,0,5,-0.0077
11-9-2016,1,0,6,0.0103
11-10-2016,1,1,8,0.0081
11-11-2016,1,1,10,0.0047
11-14-2016,0,1,5,-0.0034
11-15-2016,-1,0,3,-0.0021
11-16-2016,-1,0,3,0.0034
11-17-2016,-1,0,2,-0.0025
11-18-2016,-1,0,2,0.0114
11-21-2016,1,0,8,0.0075
11-22-2016,-1,1,4,0.0029
11-23-2016,0,0,5,0.0041
11-24-2016,1,0,10,0.0107
11-25-2016,0,1,5,0.0037
11-28-2016,1,0,9,0.0162
11-29-2016,1,1,8,-0.011
11-30-2016,0,1,5,0.0058
12-1-2016,1,0,8,-0.007
12-2-2016,1,1,6,-0.0178
12-5-2016,1,1,9,-0.0021
12-6-2016,-1,1,1,0.003
12-7-2016,1,0,6,0.0021
12-8-2016,1,1,6,0.0139
12-9-2016,1,1,8,-0.0112
12-12-2016,-1,1,4,-0.0063
12-13-2016,-1,0,4,-0.0046
12-14-2016,0,0,5,-0.022
12-15-2016,1,0,8,-0.003
12-16-2016,0,1,5,-0.0035
12-19-2016,0,0,5,-0.0052
12-20-2016,1,0,6,0.0075
12-21-2016,-1,1,1,-0.0026
12-22-2016,-1,0,1,-0.0057
12-23-2016,-1,0,4,0.0083
12-26-2016,0,0,5,-0.0039
12-27-2016,-1,0,4,-0.0048
12-28-2016,-1,0,3,0
12-29-2016,-1,0,3,0.004
12-30-2016,-1,0,3,0.0087
1-3-2017,-1,0,4,0.0078
1-4-2017,-1,0,4,-0.0013
1-5-2017,-1,0,0,-0.0034
1-6-2017,-1,0,3,0.0022
1-9-2017,-1,0,3,-0.0026
1-10-2017,1,0,6,-0.0043
1-11-2017,-1,1,4,-0.003
1-12-2017,-1,0,4,0.0061
1-13-2017,1,0,8,0.0126
1-16-2017,1,1,8,-0.0043
1-17-2017,-1,1,3,0.0064
1-18-2017,1,0,6,-0.0043
1-19-2017,-1,1,3,0.0064
1-20-2017,-1,0,4,-0.0004
1-23-2017,-1,0,4,0.0026
1-24-2017,0,0,5,0.0013
1-25-2017,-1,0,3,0.0038
1-26-2017,-1,0,1,-0.0101
2-3-2017,-1,0,3,0.0004
